companyName,description,countryOfCompany,categoryOfCompany,email,
VBox Communications,"VBox Communications is an expert in digital TV and new media solutions combining LIVE TV reception with IP and OTT. 
Our solutions empower Broadcasters, Telcos, STB/Streamer OEMs, integrators and home users to harness the benefits of converged live broadcast TV and OTT services.",Israel,"5G Technologies,Home Entertainment Hardware,Smart Home and Appliances,Streaming,Video Technologies",info@vboxconn.com,
VDMA Services GmbH,"The VDMA Services GmbH is a fully-owned service subsidiary of VDMA. With more than 3,300 members, the VDMA is the largest network organization and important voice for mechanical engineering in Germany and Europe. The association represents the common economic, technical and scientific interests of this unique and diverse industry.",Germany,,vdmaservices@vdma.org,
velavu,"The Velavu ecosystem is a simple, yet powerful experience to oversee your assets, inventory, and processes through customised solutions and exceptionally crafted software and devices. Our devices integrate seamlessly and are designed to track all your assets — whether they're indoors, outdoors, or on-the-go.",Canada,"IoT/Sensors,Mobile Hardware and Accessories,Smart Cities and Resilience,Startups,Vehicle Tech",hello@velavu.com,
"Velodyne Lidar, Inc.","Velodyne Lidar (Nasdaq: VLDR, VLDRW) ushered in a new era of autonomous technology with the invention of real-time surround view lidar sensors. Velodyne, the global leader in lidar, is known for its broad portfolio of breakthrough lidar technologies.",United States of America,"Drones,IoT/Sensors,Robotics,Smart Cities and Resilience,Vehicle Tech",,
"Veoneer, Inc.","Veoneer, Inc. is a worldwide leader in automotive technology. Our purpose is to create trust in mobility. We design, manufacture and sell state-of-the-art software, hardware and systems for occupant protection, advanced driving assistance systems, and collaborative and automated driving to OEMs globally.",United States,,,
VeriSilicon Inc.,"VeriSilicon is a Silicon Platform as a Service (SiPaaS®) company which provides world class System on a Chip (SoC) and System in a Package (SiP) solutions. VeriSilicon is a leading IP provider that address a wide range of applications, including datacenter, consumer, automotive, industrial, and medical electronics.",United States,"Artificial Intelligence,Fitness and Wearables,Smart Home and Appliances,Vehicle Tech,Video Technologies",us_sales@VeriSilicon.com,
Verizon,,United States of America,,,
VersaWand,"Designed for muscle stimulation and deep tissue massage, the VersaWand from Bodywand relaxes your most tense muscles, leaving you refreshed and ready for activity. The VersaWand rotates 90 degrees, comes complete with six attachments to target specific joints and muscles, a convenient travel case, and is USB rechargeable.",United States of America,"Family and Lifestyle,Fitness and Wearables,Wellness Technologies",info@versawand.com,
Vevo LLC,,United States of America,,,
Vewd,"Vewd is the leading global provider of OTT and hybrid TV solutions. With annual deployment on around 40 million connected devices, Vewd's software supports Smart TV, STB and automotive infotainment system providers with complete UX solutions combining content and apps, for platforms such as ATSC 3.0, HbbTV, Android TV, QNX and Linux.",Norway,,,
"VIA Labs, Inc.","VIA Labs, Inc. (VLI) is a leading supplier of SuperSpeed USB & Power Delivery Controllers, based on the latest USB-IF Standards. VLI has a rich product portfolio that includes USB Host, Hub, and Device controllers in addition to USB PD and charging controllers. VLI is headquartered in Taiwan and has locations in the US, China, and Japan.",Taiwan,"Accessories,Mobile Hardware and Accessories",,
Viant Technology LLC,"Viant is a leading people-based advertising software company that enables ad buyers to plan, buy, and measure their advertising investments. Its self-service DSP for omnichannel advertising, Adelphic, provides the ability to execute programmatic advertising campaigns across Connected TV, linear TV, mobile, desktop, audio and DOOH.",United States of America,,,
Viavi Solutions,,United States of America,,,
Victrola,"Over 100 years ago, the Victor Talking Machine Company introduced the American public to the magic of modern sound with its innovative turntable. Today, its ancestor, Victrola, continues to innovate in the sphere of music, community, and artistry with sleek and stylish machines that meet our modern standards of quality and compatibility.",United States of America,Home Entertainment Hardware,,
Videantis GmbH,,Germany,"Artificial Intelligence,Vehicle Tech,Video Technologies",,
VideoWindow,,Netherlands,,,
Vidpro Corp. / Ideal World Marketing Inc.,,United States of America,,,
Vidpro Corp. / Ideal World Marketing Inc.,,United States of America,,,
Vinci Brands LLC,,United States of America,,,
"VinFast Dealer San Francisco #1, LLC",,United States of America,Vehicle Tech,,
Vinpower Digital Inc. / OPTODISC,,United States,,,
Vinpower Digital Inc. / OPTODISC,,United States,,,
Virginia Tech Transportation Institute,"VTTI is dedicated to advancing transportation through innovation. The institute partners with industry & government to idealize, develop, evaluate, & deploy advanced solutions. We are leaders in performance assessment through prototyping, naturalistic, test-track, & field research.",United States of America,"Cybersecurity,Smart Cities and Resilience,Sustainability,Vehicle Tech",inquiries@vtti.vt.edu,
Virility Medical Ltd.,,Israel,"Digital Health,Wellness Technologies",,
"Vision Semicon., Ltd","STORANT, operated by VISION SEMICON. The First Smart Robot Cafe, STORANT, opended on an unmanned automation system from order&payment to manufacturing&serving. Facing non-contact(UNTACT) era, we are confident that it will be one of emerging trend as a new ""K-Science"" item starting with this world's first unmanned system.",South Korea,"Robotics,Smart Cities and Resilience",hebaek@visionsemicon.co.kr,
VisiSonics Corporation,"VisiSonics is a 3D spatial audio technology company with a complete suite of solutions that enhances end-users’ performance & experience. 

Millions worldwide from gamers to fighter pilots rely on VisiSonics.

Our technology packages easily integrate into consumer electronics headphones, mobile devices and PCs, VR & AR & into games.",United States of America,"Accessories,Audio Technologies,Gaming and Esports,Mobile Hardware and Accessories",info@visisonics.com,
Vispero,,United States of America,,,
Visual Behavior,,France,"Artificial Intelligence,Drones,Robotics,Startups,Vehicle Tech",,
Vivitar/Sakar,,United States of America,,,
Vivitar/Sakar,,United States of America,,,
Vivoka,"Vivoka is a software publisher specialized in voice technology. They can easily integrate voice into your project through their tool : Voice Development Kit.

Developing an embedded voice assistant in record time is now possible thanks to the VDK, the only simple and optimized software with an intuitive graphical interface.",France,,contact@vivoka.com,
Vivoo,"and recommendations unique to the user's body while helping them track their hydration, pH, ketones, kidney & liver functions and so much more! The best part is it takes just 2 minutes to take a test and get your results instantly in your home, through your mobile app.",United States of America,"Digital Health,Fitness and Wearables",,
Viwone,,United States of America,Audio Technologies,,
VLC Distribution,"Full service distributor that can provide 3PL, direct to retailer or drop ship services to provide customized service for vendor needs.  VLC has a 100,000 square foot facility in Houston, Texas.  VLC has established vendor numbers with all of the major retailers in the USA.  Please visit our website at www.vlcdistribution.com",United States of America,"Energy/Power,Family and Lifestyle,High-Tech Retailing/E-Commerce,Home Office Hardware and Accessories,Smart Home and Appliances",kristies@vlcdistribution.com,
Voice Market,,France,,,
Voltaic Systems,,United States of America,,,
Tuneit,"Tuneit, spun off from Hyundai Motor Company, is a company that develops smart mobility solutions. The digital car keys 'Achakey' that can control the vehicle with smartphones. It provides systems for non-face-to-face vehicle management services for businesses as well as individuals.",South Korea,"IoT/Sensors,Smart Cities and Resilience,Startups,Vehicle Tech",biz@tuneit.io,
TuSimple,"TuSimple is a global autonomous driving technology company, headquartered in San Diego, California, with operations in Arizona, Texas, Europe, and China. Founded in 2015, TuSimple is developing a commercial-ready, fully autonomous (SAE Level 4) driving solution for long-haul heavy-duty trucks.",United States of America,"Artificial Intelligence,Sustainability,Vehicle Tech",,
TUV Rheinland,"TÜV Rheinland stands for safety and quality in virtually areas of life. We offer a comprehensive service portfolio for testing and certification, including regulatory, interoperability, performance, safety and security. We are a worldwide compliance partner that understands the challenges surrounding evolving technologies and markets.",United States,,info@us.tuv.com,
TV Squared Inc.,"TVSquared is the global leader in cross-platform TV ad measurement. Our scalable ADvantage platform delivers always-on insights for reach and frequency, reach extension, outcomes and audience for linear for CTV/OTT. Brands, agencies, publishers, MVPDs and DSPs work with us to measure TV how people watch it – across screens and platforms.",United States,,info@tvsquared.com,
Twinny,"TWINNY provides one-stop solution for autonomous mobile robots and a corresponding platform. TWINNY’s advanced technology enables the autonomous driving without any additional infrastructure in a wide indoor and outdoor environment such as factories, distribution centers, hospitals.
At this CES2022, TWINNY is showing NarGo60, one of AMR.",South Korea,"Artificial Intelligence,Robotics,Smart Cities and Resilience",contact@twinny.ai,
"TYP Enterprises, Inc.","Tymphany is the global leader in the design and manufacturing of audio systems, headphones, acoustic modules, and drivers. With over 90 years of audio design, development and manufacturing expertise, Tymphany is widely regarded as having the strongest portfolio of technology and design experience in the loudspeaker industry.",United States of America,"Audio Technologies,Car Audio,Fitness and Wearables,Home Entertainment Hardware,Wellness Technologies",,
Typewise AG,"Typewise decodes human thoughts to make daily life easier for billions of people. Our keyboard app is a CES 2021 Award Honoree with over 500,000 installs. It reduces typos by 4X through our patented honeycomb layout and award-winning text prediction AI in 40+ languages. Typewise protects user privacy 100 percent.",Switzerland,,info@typewise.app,
"U.S. Dept. of Commerce, U.S. Commercial Service",,United States of America,,,
u-blox,"u-blox is a Swiss-based global technology leader in positioning and wireless communication in automotive, industrial, and consumer markets. With a broad portfolio of chips, modules, and secure data and connectivity services, u-blox empowers its customers to develop innovative, reliable solutions for the IoT, quickly and cost effectively.",Switzerland,"Digital Health,Smart Home and Appliances,Vehicle Tech",,
Ubtech Robotics Corp Ltd,"UBTECH Robotics is best known as a global industry leader in artificial intelligence and humanoid robotics, including groundbreaking robots such as Walker, AIMBOT, Cruzr, and Alpha Mini, as well as the award-winning JIMU Robot building kits designed to support STEM education in a fun, hands-on way.",China,"Artificial Intelligence,Robotics",,
ugo wear,,United States of America,,,
UHD Alliance,,United States of America,,,
Uhnder Inc.,,United States of America,,,
UJURA Company,"CATMOS the Bell collects and analyzes every single data that your beloved cats make for its entire life. For us, big data from millions of cats living in all over the world is an important resource for understanding their exact condition.
 You only need to think about the happiness with your cats! We take care of their pain.",South Korea,"Artificial Intelligence,Digital Health,Family and Lifestyle,IoT/Sensors,Startups",contact@ujura.com,
Ukraine Tech,,Ukraine,,,
Ultra Auto Tech,,United States of America,,,
Ultraleap,"Ultraleap develops world-leading hand-tracking and haptics solutions which allow people to engage with the digital world naturally. Their touchless technologies let you control and feel digital content with your bare hands - no controllers, no wearables, no need to touch public displays or surfaces.",United Kingdom,"Marketing and Advertising,AR/VR/XR,Gaming and Esports,High-Tech Retailing/E-Commerce,Vehicle Tech",hello@ultraleap.com,
Vovo Corporation,"VOVO Corporation is an eco-friendly household appliance manufacturer in South Korea. Established in 2001, we are dedicated to improving everyone’s quality of life. We have always pursued the highest levels of cleanliness and embraced innovation and technology.",South Korea,Smart Home and Appliances,export1@vovokr.com,
VOXX International,"VOXX International has been driving innovation for 60 years, supplying products to the Automotive, Consumer Electronics and Biometrics industries. We have a broad range of products and over 35 brands, which are sold through a diversified distribution retail network, corporate enterprises and to many of the world’s largest automotive OEMs.",United States,"Audio Technologies,Home Office Hardware and Accessories,Mobile Hardware and Accessories,Vehicle Tech,Video Technologies",msmith@voxxintl.com,
VOYD,,United States of America,,,
VPI Technology Group,,United States,,info@vpitech.com,
VR Leo USA Inc,,United States of America,"AR/VR/XR,Gaming and Esports",,
VTA - Smart Home,"We are a innovative and quality brand, which provides the perfect balance between innovation, technology and prices to different markets.

With our smart home brand, anyone can use smart products easily throught our VTA app.",Colombia,Smart Home and Appliances,soporte1@moreproducts.com,
VTCorporation,,South Korea,,,
Vtouch Inc,"SpatialTouch™ is a technology that analyzes users’ body movements with a TOF sensor, allowing them to pinpoint where they are pointing and select that precise point. 
It completely replaces traditional remotes and switches and lets you control any devices, displays and even things in your home from a distance simply by pointing at them.",South Korea,"Artificial Intelligence,AR/VR/XR,IoT/Sensors,Smart Cities and Resilience,Smart Home and Appliances",contact@vtouch.io,
Vueron Technology,"Under the motto “Making people safer by providing the best LiDAR perception software”, Vueron was founded in 2019. Based on the point processing algorithm, Vueron has developed a high-performance, stable, and practical LiDAR perception software to identify all objects around the sensor with low resources using only C Language.",South Korea,,info@vueron.org,
VuPoint Solutions,,United States,Smart Home and Appliances,sales@vupointsolutions.com,
VuPoint Solutions,,United States,Smart Home and Appliances,sales@vupointsolutions.com,
Ultraloop Technologies,Ultraloop Technologies is fast-tracking the future of sanitization.,United States,,aditya@theultraloop.com,
Umi Optics,"We are UMI OPTICS located in South Korea, dealing with health care product A.I based fundus camera, it helps to detect the risk of Diabetic retinophathy, Glaucoma, Macular degeneration in advance with simple & easy operation method",South Korea,,sales@digitalfundus.com,
Unaide,,France,,,
Union Group,,"Hong Kong, SAR China",,,
United States Patent & Trademark Office,,United States of America,,,
United States Postal Service,,United States,,salesoutreach@usps.gov,
Unity Technologies SF,"Unity is the world’s leading platform for creating and operating interactive, real-time 3D (RT3D) content. We empower creators to break down barriers and innovate across industries and around the world.",United States,"Artificial Intelligence,AR/VR/XR,Entertainment and Content,Gaming and Esports,High-Tech Retailing/E-Commerce",,
Universal Electronics Inc.,"Founded in 1986, Universal Electronics is the global leader in wireless universal control solutions for home entertainment and smart home devices. We design, develop, manufacture, ship and support products for leading brands in the video services, consumer electronics, security, home automation climate control and home appliance markets.",United States of America,"Artificial Intelligence,Audio Technologies,Home Entertainment Hardware,IoT/Sensors,Video Technologies",,
Universal Electronics Inc.,"Founded in 1986, Universal Electronics is the global leader in wireless universal control solutions for home entertainment and smart home devices. We design, develop, manufacture, ship and support products for leading brands in the video services, consumer electronics, security, home automation climate control and home appliance markets.",United States of America,"Artificial Intelligence,Audio Technologies,Home Entertainment Hardware,IoT/Sensors,Video Technologies",,
Univision Management Co.,"As the leading Hispanic media company in the U.S., Univision Communications Inc. entertains, informs and empowers U.S. Hispanics with news, sports and entertainment content across broadcast and cable television, audio and digital platforms. The company’s top-rated media portfolio includes Univision, UniMás, TUDN and Galavisión.",United States,,,
Upstream Security,,Israel,,,
UralS,,Morocco,,,
"Urban Armor Gear, LLC",,United States of America,"Accessories,Home Office Hardware and Accessories,Mobile Hardware and Accessories",,
Vuzix Corporation,"Vuzix is a leading supplier of Smart-Glasses and Augmented Reality (AR) technologies and products for the consumer and enterprise markets. The Company's products include personal display and wearable computing devices that offer users a portable high-quality viewing experience, provide solutions for mobility, and augmented reality.",United States,,,
Waay LLC,"WAAY is a startup from Arizona looking to rethink how people interact with residential doors.  The WAAY Power Door provides new opportunities for saving space and modernizing homes, while improving accessibility and energy efficiency.",United States of America,,info@waayhome.com,
Wacha,,Japan,,,
Wacom Technology Corporation,"Wacom is the global leader in the pen display and tablet market for creative users. As a technology company, we provide cutting-edge digital ink solutions for a wide range of partners using and producing smartphones, tablets and digital stationery.",United States,,,
Telink Semiconductor,"Founded in 2010, Telink Semiconductor is a fabless IC design company. Telink is dedicated to the development of highly integrated low-power radio frequency and mixed signal system chips for Internet of Things (IoT) applications. Telink’s product portfolio is aimed at serving markets ranging from smart home to consumer electronics.",China,,telinksales@telink-semi.com,
Telit Wireless Solutions Inc.,"Telit is the global leader in IoT enablement with an extensive portfolio of wireless connectivity modules, software platforms and global IoT connectivity services, empowering hundreds of millions of connected things.",United Kingdom,,telitevents@telit.com,
Tenminds,"10Minds is specialized in health and beauty promoting a healthy, happy lifestyle. It operates 130 distribution spots (including event venues) in department stores, duty free shops, in-flights, and specialized retail stores nationwide.",South Korea,,overseas@tenminds.com,
"Testonic Co., Ltd.",,South Korea,"Accessories,Smart Cities and Resilience,Smart Home and Appliances",sdj1000@testonic.co.kr,
Texas Instruments,"Texas Instruments has been making progress possible for decades. We are a global semiconductor company that designs, manufactures, tests and sells analog and embedded processing chips. Our products help our customers efficiently manage power, accurately sense and transmit data and provide the core control or processing in their designs.",United States,,events@ti.com,
Texel Inc.,,Russian Federation,,,
"Thai Trade Center, Los Angeles","Thai Trade Centers, under the supervision of the DITP, are located in major cities around the world to implement policies and activities, with special focus on fostering trade relations and increasing business opportunities between Thai exporters and potential importers or business partner within the area of responsibilities.",United States,,ttclausa@att.net,
The Cyrcle Phone,,United States of America,,,
The DiSTI Corporation,"DiSTI is the leading provider of both turn-key and customized HMI software and 3D virtual maintenance training solutions.

The world’s leading automotive manufacturers and OEMS rely on DiSTI to future-proof their User Interfaces with our GL Studio® HMI software development tool, and patented Mixed-Criticality™ Workflow.",United States of America,,sales@disti.com,
The Female Quotient,"The Female Quotient advances equality in the workplace through the power of collaboration. We bring visibility to women, activate solutions for change, and create metrics for accountability.",United States,,thefq@thefq.com,
The Goodyear Tire & Rubber Company,,United States of America,,,
The Nielsen Company (US) LLC,Nielsen is a global measurement and data analytics company that provides the most complete and trusted view available of consumers and markets worldwide. Nielsen provides media and advertising industries with unbiased and reliable metrics that create a shared understanding of the industry required for markets to function.,United States,,,
The Pep Boys,,United States of America,,,
The Stick Company,We are the designers of innovative smartphone accessories with excellent branding opportunities. We believe that our products will change the rules in the world of on-the-go phone accessories.,United States of America,"Accessories,Mobile Hardware and Accessories,Travel and Tourism",hello@thestick.company,
The Tate Group at UBS Financial,"The Tate Group has helped physicians, healthcare executives and entrepreneurs maintain comfortable cash flow, create liquidity and preserve and pass on their wealth. We've helped corporate leaders establish employee benefits plans and helped others take their companies public.",United States of America,,michael.dastice@ubs.com,
"The Trade Desk, Inc.",,United States of America,,,
The Vibe Agency,,United States of America,,,
The Virson Technology Ltd,,China,,,
The.Wave.Talk,"'WaterTalk' is an easy-to-use water quality tester with high precision. Users can test the water quality of filtered, purified, bottled, or tap water used at home. The mobile app will track the water quality from each user's home. Just like the local weather forecast, the app will provide a 'national online water quality map'.",South Korea,"IoT/Sensors,Smart Home and Appliances,Startups,Sustainability,Wellness Technologies",thewavetalk@thewavetalk.com,
"Thermaltake, Inc.","For over 20 years, Thermaltake has endeavored to meet its mission of delivering the perfect user experience for PC enthusiasts and gamers everywhere. Innovating a cultural brand for the enjoyment of entertainment, technology and lifestyle has always been our passion. It inspires us to create timeless solutions worldwide.",United States,,marketing@thermaltakeusa.com,
Think air,We have developed and patented an autonomous IAQ system to prevent pathogen Risk and to improve olfactory comfort.,Tunisia,"Artificial Intelligence,Digital Health,IoT/Sensors,Smart Home and Appliances,Vehicle Tech",commercial@arom-air.com,
"Thunder Software Technology Co., Ltd.","ThunderSoft is a provider of operating system technologies, superior products and solutions, experts in mobile, IoT, automotive, and enterprise.",China,,,
"Tianjin APOLLO Info-tech Co.,Ltd","Apollo Japan is undertaking research, development, application and manufacture of various techniques ""to connecting Human, includes the automatic driving realized by introducing the independent intellectual property ""Self-Discipline Learning SDL model"". This automatic driving is based on giving human wisdom to the machine from image recog",China,"Artificial Intelligence,Smart Cities and Resilience,Smart Home and Appliances",gu@apollo-japan.ne.jp,
tide ocean SA,,Switzerland,,,
"Tier IV, Inc.","Tier IV, a deep-tech startup based in Japan, is the creator of Autoware, the world’s first open-source software for autonomous driving technology, and provides full-stack solutions for the commercialization of intelligent vehicles based on the Autoware-defined autonomous driving kit (ADK) running on multiple platforms.",Japan,"Artificial Intelligence,Robotics,Smart Cities and Resilience,Startups,Vehicle Tech",pr@tier4.jp,
TiKBAG,,Israel,,,
Times International Trade Corporation,"Times International Trade Corporation (TITC) innovates COB LED light products and accessories for home, work, school, garage or car.",United States of America,"Accessories,Home Office Hardware and Accessories",times36@titcus.com,
"Tineco Intelligent Technology Co., Ltd.",,China,,,
Tingz Co Limited,,Canada,,,
Tinycoaching,,France,,,
SVS,"Headquartered in Youngstown, Ohio, SVS high-performance subwoofers, speakers, wireless audio products, and accessories deliver thrilling and immersive audio experiences and unmatched performance for the price.",United States,"Audio Technologies,Home Entertainment Hardware",custservice@svsound.com,
Switzerland,"Watches, chocolate, and? swisstech!
@CES2022 Switzerland puts the spotlight on the exceptional performance of the Swiss innovation ecosystem. As an outstanding innovation and technology hub, Switzerland is an attractive location for investors and foreign companies. This year swisstech proudly supports 20 promising and uprising startups.",Switzerland,,,
Synaptics,,United States of America,,,
Synca Wellness,,United States of America,Wellness Technologies,,
tacterion GmbH,"With a team of world class engineers, data scientists, and industrial designers, tacterion provides sensors and services to enable the next generation of connected interactive and responsive products using plyon(R), our innovative touch and force sensing technology. It is extremely robust and flexible at the same time.",Germany,,b2b@tacterion.com,
TAEM.io,,Netherlands,,,
Taiwan Tech Arena,Taiwan Tech Arena champions entrepreneurship and innovation with the goal of building a vibrant global startup ecosystem in Taiwan.,Taiwan,"5G Technologies,Artificial Intelligence,IoT/Sensors,Smart Home and Appliances,Startups",info@taiwanarena.tech,
"Taiyo Yuden Co., Ltd.","Since TAIYO YUDEN’s inception in 1950, we have achieved growth by undertaking the research, development, manufacture, and sales of various types of electronic components. Our product lineup includes capacitors, as well as inductors, Film Bulk Acoustic Resonator (FBAR)/Surface Acoustic Wave (SAW) devices, energy devices and more.",Japan,,,
Tali Connected,"We help the biker community to improve their safety conditions. To achieve this, we have decided that safety systems must be perfectly integrated into motorcycle riding, with aesthetic, high-performance and functional equipment. Tali's philosophy is to combine design and technology so that safety is never a compromise.",France,"Family and Lifestyle,IoT/Sensors,Startups",hello@taliconnected.com,
TandemLaunch Inc.,,Canada,,,
Taoglas,"Taoglas is a leading enabler of digital transformation using IoT. We help OEMs and enterprises with everything from initial strategy definition, to design, build, deploy and managed services. Our solutions combine high-performance RF design with advanced positioning, imaging, audio and artificial intelligence technologies.",United States of America,,marketing@taoglas.com,
Tapp.online,"We make paper smart by integrating sensors, printed batteries and microchips. By connecting paper with IoT. So paper reinvented means scalability, flexibility and measurability. It’s the perfect alternative for traditional electronics. And the beauty is: our smart paper is 100% recyclable, contributing to a circular world free of e-waste.",Netherlands,,hi@tapp.online,
Targus,"For over 35 years Targus has been revolutionizing mobile computing accessories connecting people & technology in meaningful ways. From laptop bags to tablet cases to peripherals and docking stations, we design & produce innovative, productivity-boosting solutions to make the complex, simple--at home, in the office, & anywhere in between.",United States,"Accessories,Mobile Hardware and Accessories,Sustainability,Wellness Technologies",,
Targus,"For over 35 years Targus has been revolutionizing mobile computing accessories connecting people & technology in meaningful ways. From laptop bags to tablet cases to peripherals and docking stations, we design & produce innovative, productivity-boosting solutions to make the complex, simple--at home, in the office, & anywhere in between.",United States,"Accessories,Mobile Hardware and Accessories,Sustainability,Wellness Technologies",,
Taste Boosters LLC,"SpoonTEK is the first commercial eating utensil with built-in electronics to enhance flavor and neutralize after-taste. SpoonTEK's unique technology excites the taste buds through human body connection, battery power & a mild electric current. SpoonTEK takes tongue sensory to the next level, and works great with yogurt, soup & ice cream.",United States of America,"Family and Lifestyle,High-Tech Retailing/E-Commerce,Startups,Wellness Technologies,Food Technology",info@spoontek.com,
Tata Communications (Americas) Inc.,,United States of America,"5G Technologies,Cloud Computing/Data,Cybersecurity,IoT/Sensors,Vehicle Tech",,
Startups Magazine,,United Kingdom,,,
State of South Carolina,,United States of America,,,
Stellantis,"Stellantis is a leading global mobility player guided by a clear mission: to provide freedom of movement for all through distinctive, appealing, affordable and sustainable mobility solutions.",Netherlands,Vehicle Tech,communications@stellantis.com,
"SteraVision,Ltd.","We are the company that develops a steering device based on advanced solid state FMCW LiDAR systems. The device can scan functioning similar to the naked eye, yet can also detect super-efficient visual systems that greatly exceed all human capabilities. The device is expected to be adapted to autonomous driving.",Japan,,,
Steri-Write,"Steri-Write--the FIRST and ONLY touchless sanitizing device that helps decrease harmful pathogens on shared writing instruments by providing a clean, sanitized pen or stylus to each new user. Utilizing germicidal UV-C LEDs to kill bacteria and viruses on shared pens and proven 99.9% effective, Steri-Write offers a clean pen every time!",United States,,info@steri-write.com,
Stern Pinball,,United States of America,,,
Stern Pinball,,United States of America,,,
"Stevara, LLC",,United States of America,Digital Health,,
STM Brands,,United States of America,,,
STMicroelectronics,"At ST, we are makers of semiconductor technologies mastering the semiconductor supply chain with state-of-the-art manufacturing facilities. Today we work with customers and partners to design and build products, solutions, and ecosystems that address their challenges and opportunities, and the need to support a more sustainable world.",United States,"Artificial Intelligence,AR/VR/XR,IoT/Sensors,Smart Home and Appliances,Vehicle Tech",,
"Stonkam Co., Ltd.","STONKAM CO., LTD., founded in 2003, is a national high-tech enterprise with IATF 16949: 2016 certified and core competency in researching, developing and manufacturing of vision products and advanced driving assistance products for commercial and special vehicles.",China,"Artificial Intelligence,IoT/Sensors,Smart Cities and Resilience,Vehicle Tech,Video Technologies",sales@stonkam.com,
Snap Inc.,,United States of America,,,
So Real Digital Twins AG,"So Real creates photoreal 3d scans of real world objects using CT scan technology to produce the highest possible quality, detail both inside and outside.",Switzerland,"Digital Imaging and 3D Printing,Blockchain,AR/VR/XR,Entertainment and Content,Startups",info@soreal.ch,
Sodium Cycles,"SODIUM CYCLES is a project which originated from the will to conceive, produce and market electric vehicles with a new take on two-wheeled vehicles, with clean, efficient tech and a very user-focus approach. frenchtech electric vehicle smartcities EV mobility motorcycles  bordeaux",France,"Family and Lifestyle,Smart Cities and Resilience,Startups,Vehicle Tech",,
SOLAARI,,France,,,
Solable SAS,,France,,,
"Solide Co., Ltd.",,Taiwan,,,
"Somo Vision Co., Ltd.","1. Camera Module Manufacturer especially for Automotive and Security fields.
2. Own R&D(HW, SW and Optic(Lens)) and factory in South Korea.
3. Stable financial structure under SOMO group.",South Korea,"IoT/Sensors,Smart Home and Appliances,Vehicle Tech,Video Technologies",jasonpark@somo-vision.com,
Sonarworks Ltd.,,Latvia,,,
Sonical,,United States of America,,,
Sonoran Desert Institute,,United States of America,,,
Sonova AG,,Switzerland,,,
Sony Corporation,Explore stories of how tomorrow’s technologies will redefine our future by clicking the “Visit Microsite” button below.,United States,,SELPR@sony.com,
Sony Corporation,Explore stories of how tomorrow’s technologies will redefine our future by clicking the “Visit Microsite” button below.,United States,,SELPR@sony.com,
TCL Corporation,"TCL empowers customers to enjoy more®. With a lineup of award-winning televisions, audio products, mobile devices, and appliances, TCL takes pride in delivering meaningful experiences by combining thoughtful design and the latest technology.",United States,,,
TDK Corporation,"TDK features passive components - capacitors, magnetics, high-frequency, & piezo & protection devices. TDK also develops sensors & sensor systems - temperature & pressure, magnetic, & MEMS sensors, as well as power supplies & energy devices, magnetic heads & more. TDK brands - TDK, Chirp, EPCOS, InvenSense, Micronas, Tronics, & TDK-Lambda",Japan,,tradeshowinfo@us.tdk.com,
TEA Ergo Inc.,,United States of America,,,
Technofashion Inc.,,United States of America,,,
Tectonic Audio Labs,,United States of America,,,
"TeeLabs Co., Ltd.","TeeLabs is a 3D space modeling company founded in 2017. We've developed 'TeeVR', which scans various interior spaces and then precisely fuses shapes and images onto them, giving users the opportunity to experience '6-DoF interactive reality'. The unique digital-twin space created by TEE VR is a combination of high-level robotics and AI.",South Korea,AR/VR/XR,contact@teevr.com,
TEEware,"TEEware is a startup founded by members of the Information Security Lab at KAIST. We provide cutting-edge data encryption and key management solutions.
We strive to deliver unparalleled security, scalability, and ease of use to address security and operational requirements for applications such as Cloud, Blockchain, IoT, Fintech, and more",South Korea,,contact@teeware.io,
Tegway Co Ltd,"TEGWAY is a company that specializes in making the first useable, flexible thermoelectric devices (FTED) and its applications. The FTED not only performs the same as the conventional TED, but it is flexible, thin, light, and responds instantly. With the FTED, devices can have design freedom!",South Korea,,info@tegway.co,
Teixon,"TEIXON wants to solve various problems in society and create a safer world by expressing innovation in thought with technology.
The Product we want to show is TEIXON On-Site. 
It is a on-site management solution that automatically manages drone videos, flight data, location data of field personnel, weather and geographic information.",South Korea,"Cloud Computing/Data,Drones,IoT/Sensors,Robotics,Smart Cities and Resilience",support@teixon.com,
Teksun Inc.,,United States of America,,,
TEKTELIC Communications Inc.,,Canada,"Digital Health,IoT/Sensors,Mobile Hardware and Accessories,Smart Cities and Resilience,Smart Home and Appliances",info@tektelic.com,
Telechips,,South Korea,,,
Teleidoscope,,United States of America,,,
Televes USA,,United States of America,,,
STOPfakes.gov,"STOPfakes.gov provides U.S. government tools and resources focused on intellectual property rights (IPR). The federal agencies collaborating on STOPfakes.gov have developed materials and programs for education and assistance for businesses, particularly small and medium-sized enterprises (SMEs), government officials, and consumers.",United States of America,,michelle.king@trade.gov,
Strados Labs,"Strados Labs is a respiratory management solutions company that focuses on enabling real-world, real-time monitoring of lung health with smart-sensor technologies. Our proprietary biosensor is passive, patient-friendly and clinically validated to acquire lung sounds in the real-world. Our Strados Cloud platform collects and calculated the",United States of America,,info@stradoslabs.com,
